,500,1000,1500,2000
1,246995,807552,1817555,3231024
2,139276,423208,940808,1665714
3,87211,291232,638139,1143913
4,85100,223610,507842,902416
5,82027,256981,597440,1067409
6,72585,234505,527683,1449185
7,99527,208017,454673,794659
8,70634,190934,415744,715436
9,73930,223239,499896,917219
10,72282,234880,543650,1444977
